,Country,Code,Year,Cardiovascular diseases (%),Cancers (%),Respiratory diseases (%),Diabetes (%),Dementia (%),Lower respiratory infections (%),Neonatal deaths (%),Diarrheal diseases (%),Road incidents (%),Liver disease (%),Tuberculosis (%),Kidney disease (%),Digestive diseases (%),HIV/AIDS (%),Suicide (%),Malaria (%),Homicide (%),Nutritional deficiencies (%),Meningitis (%),Protein-energy malnutrition (%),Drowning (%),Maternal deaths (%),Parkinson disease (%),Alcohol disorders (%),Intestinal infectious diseases (%),Drug disorders (%),Hepatitis (%),Fire (%),Heat-related (hot and cold exposure) (%),Natural disasters (%),Conflict (%),Terrorism (%),Diabetes mellitus (%),Other (%),HDI
0,Afghanistan,AFG,1990,23.70775239500468,5.129906724252035,3.036221668754066,3.83255475427,0.9996914097597578,11.644167284577815,9.227289585236992,4.496131451232502,2.33162858278718,0.7401895225531123,2.2087621243176923,1.6088932465725607,1.8852107961008129,0.01639354090036101,0.37730364271398814,0.2363995471855793,0.6522651613353968,0.8500795162812009,3.298924299456438,0.8196505584994016,0.7688961654074413,1.1628562844253163,0.16567708365024808,0.03853888175188442,0.183330287444,0.039879067105940934,0.4043312336089656,0.15897178025175998,0.1157385691076305,0.0,0.932,0.006120446999999999,1.7136690178170433,17.210575370638196,
1,Afghanistan,AFG,1991,23.49030691827808,5.086501045097314,3.0125016501682764,3.82222784589,0.9948724685825948,11.168168420736942,9.18738797182549,4.296545861103944,2.3806252456604344,0.7340326090794059,2.144619447136857,1.5625735658761235,1.87143903994458,0.01880000405802108,0.3809911765929511,0.24367540120882994,0.7623842949263546,0.8087182364078559,3.175043565918485,0.7793980307802243,0.7367160013480102,1.1678460256245098,0.16432905196901684,0.038059330425746885,0.178107373132,0.040635129269309934,0.3940173058918412,0.1558097921197852,0.08247858609764218,0.6764362422939296,2.044,0.034022477999999995,1.6813915572027014,16.685338327352753,
2,Afghanistan,AFG,1992,23.14691834707601,5.0695372509640135,2.9759895347734715,3.90012458748,0.9700189450992672,11.110910764773683,9.573837956307877,4.273243322037499,2.646420073922437,0.7291560105480732,2.141777906959269,1.5281695119059184,1.8634363312445479,0.0243040579267322,0.4099087214741673,0.24974766633579004,0.8061144069868388,0.8037083734033309,3.1885185264632305,0.7745867663310303,0.7360100274082846,1.330305582260103,0.1602642938199273,0.03883216535615727,0.17685474499,0.04354600191984979,0.39399240452899176,0.1620968076596214,0.0442480538228113,0.2945144776557344,2.408,0.023463061,1.6491072595065963,16.35233605805874,
3,Afghanistan,AFG,1993,21.154206527377298,4.7000728285722815,2.7325699163947843,3.97411296447,0.8728777240847194,11.929438185904242,11.533166106167991,5.061458900598394,2.79284685325432,0.6748067469785732,2.073493282964166,1.4128500919727127,1.7468253078163405,0.02473393672697441,0.41184924675095697,0.2854911697541113,0.8050151407137236,0.8456633991815751,3.4093183777879945,0.816377212482715,0.7243496382565223,1.4082247614946908,0.1444343449649303,0.036968014211572975,0.173466772735,0.04369756413434722,0.37680981800977537,0.1615626069905612,0.04396828799524625,0.04654755551165223,,,1.5051314180474455,18.07766529769438,
4,Afghanistan,AFG,1994,19.756143534698925,4.409522092836414,2.566001212715756,3.96895379996,0.8077878800861995,12.547770025474675,11.477337130827724,5.109096413236714,2.8192745179877816,0.6334312753403343,2.056150615289196,1.3373349031516066,1.6586552871731168,0.02522794165016591,0.3949506343505293,0.30064813918217403,0.856315220682965,0.9353059496307424,3.6244422963873903,0.9036539014371694,0.7489327439783066,1.3659074387511598,0.13381561422312166,0.034755899270588524,0.16513472091700002,0.042743281016713285,0.364885311678232,0.16048590859736805,0.04302802618100923,0.061584747509540766,4.296,0.008454509,1.398301484664884,14.987967542112486,
5,Afghanistan,AFG,1995,19.582326594166503,4.403130488023842,2.5591594889876843,4.1059469888,0.7999178176081438,12.968506129033795,11.56957797443811,5.5536443509769855,2.982651712351724,0.6353195801430037,2.0812529431726814,1.3249289878460495,1.6678869452678813,0.02740241612116771,0.4003644608760253,0.3064682291205068,0.8741247099256,0.9762105982903106,3.806443684662504,0.9428266411514348,0.8223621326554256,1.3923534248317546,0.13245098381181653,0.034519350537317715,0.165364148685,0.04432528786958455,0.3689789612335865,0.16820583677256226,0.04434968641123081,0.1435085533274896,2.557,0.001880472,1.3783881831483382,15.178222237751953,
6,Afghanistan,AFG,1996,19.58071226756564,4.41183927601779,2.554746039370384,4.20915370348,0.7966490483029434,12.922855919051194,11.8031269111424,5.248640893074084,3.065640170829077,0.6363333408593261,2.061757029768984,1.3076590717617709,1.6723219610233726,0.029177681510540943,0.4072542232378337,0.3286599577383493,0.9734485116387014,0.94852395665544,3.8260289205852,0.915438199201812,0.8324331658255546,1.4249834697003336,0.13182491756366804,0.03464477981631709,0.161878044483,0.04622757753901347,0.3756579294964708,0.16984069247030412,0.04528363324145605,0.026005453477954302,1.574,0.011497591,1.385442437998949,16.08031322457215,
7,Afghanistan,AFG,1997,19.304401350876397,4.367245152850781,2.515165985783101,4.19232317883,0.782654714591728,12.646588641860287,11.640577805103565,5.175628708433996,3.010666244717344,0.6300094914119749,2.0216988529328037,1.2756632019200869,1.6559971283719506,0.030259644600646736,0.4084406459764368,0.3226603094555196,0.8631420865878205,0.916667659041968,3.787677550344264,0.8839248426184103,0.8325120607245315,1.4377135331474633,0.1294502326106269,0.03438300507737422,0.155895163788,0.047670366063419456,0.3782072004225329,0.16925469241805613,0.04579451711135436,0.06321758114865338,2.8760000000000003,0.001443015,1.3735830873075794,16.023482348871326,
8,Afghanistan,AFG,1998,18.589506724514283,4.222360981086908,2.417269398287732,4.042126468,0.752501702769956,11.941113686597973,11.122465880326114,4.853358123395525,2.853103308164022,0.6081548143110774,1.9196760161270028,1.2137115058157926,1.597543422284241,0.030306350668651994,0.3988379706786141,0.3247608786334125,0.8858423636175243,0.8528204389100619,3.615830242848432,0.8217492312269907,0.8021103530086433,1.4107479197458692,0.12433080452788745,0.03321841801974496,0.143777381958,0.047874498809696436,0.3699479560964545,0.16309320721621584,0.04481192388851007,2.4525631972340682,4.8439999999999985,0.002751031,1.33001435793279,15.167719442297809,
9,Afghanistan,AFG,1999,19.78998107286784,4.525207135861572,2.563218702088028,4.339258459119999,0.804745331317956,12.395285946857046,11.704861860228428,5.076845271809876,2.9129501519089778,0.6441967812951294,1.995289024903513,1.2746759519630422,1.6954561102660213,0.0317674698557239,0.4227374665283781,0.3469942589487514,0.8945697188688533,0.8674144625818593,3.7715017650452514,0.8346249167126011,0.839140544025673,1.460913997554269,0.13328380652284005,0.034349677762142004,0.147813395047,0.052816354522209716,0.3974482836549933,0.1707098716786585,0.048091766678075104,0.02551808094963019,2.079,0.014196887,1.4305479808475992,16.274587494728067,
10,Afghanistan,AFG,2000,20.430235417063773,4.721891890119784,2.6316795029990505,4.41436713589,0.8385080130999709,11.904361708055804,11.083130890565037,4.847863024530163,2.8950109002307878,0.6578313461102738,1.999569811683816,1.2994775638189568,1.7306544711141896,0.03520964300333626,0.4388682664607509,0.3463367613569631,0.9240902097777272,0.8249331378724221,3.6580447343181866,0.7920509743608415,0.8358134108648113,1.4713411808488006,0.13934852164045292,0.034314113327596346,0.144419595127,0.05691369569741325,0.4091209015411697,0.17153349741213514,0.050206711550374164,0.0,2.167,0.014240526000000003,1.5033100237191517,16.528322419839256,
11,Afghanistan,AFG,2001,20.753450687016525,4.853242651694195,2.6708150878699133,4.49541462178,0.8583924336190161,11.543037953515196,11.254480574308793,4.592196783848731,2.8694031762044148,0.6634795224659202,1.9756706543980431,1.3121183683262323,1.7453428886539168,0.03591544272865368,0.4505940897428127,0.3601197840099263,0.9465193825268804,0.7762750059728217,3.586494268004797,0.7438424460239358,0.8172564422787505,1.5022188737132092,0.14320072401952505,0.03414601837839104,0.140701753181,0.060294718823315836,0.4064004197575543,0.16984428100133647,0.17560766987371396,0.0015159697059908205,2.2230000000000003,0.065844633,1.569228995774336,16.20393367778216,
12,Afghanistan,AFG,2002,21.60729780968918,5.15042849004036,2.774286019136876,4.6742839836000005,0.905318208089222,11.398080301783047,11.171586912045068,4.480080393669934,3.010572457500684,0.694372500693175,2.0180015703528933,1.367992755043957,1.8220964876141283,0.043802866847777885,0.4880605532980386,0.3747968498425689,1.1441256754756304,0.7659239337380801,3.2864536096249157,0.7321995904309605,0.8320243237479682,1.6812732572972944,0.15113057097565094,0.03580483343915289,0.14165450057700002,0.06663860839891439,0.4174312106698634,0.17651851427121704,0.05545410412794118,0.5077863476250106,0.416,0.029176287,1.6780813681334796,15.901265105220006,0.373
13,Afghanistan,AFG,2003,21.425906909424235,5.308487384199825,2.7729965119191773,4.975246091640001,0.9088337727339582,12.98709631253187,12.471787328180197,5.238915401061235,3.240591043302992,0.7240391527718438,2.121058976434908,1.4264873986041582,1.9014172094869348,0.044366904851029336,0.5066571842194815,0.4532353015670267,1.2482728478978966,0.8647126831634935,3.8756439430728977,0.8249420310905909,1.0191786088018566,1.7833083921599335,0.15147722958404247,0.0360850672655194,0.172625170744,0.0702442700660294,0.43903401365038397,0.19995168162176272,0.061680566481010835,0.05364636385521968,0.29600000000000004,0.063710212,1.7189098709110686,10.613454164705416,0.383
14,Afghanistan,AFG,2004,21.677462674431773,5.497846279745941,2.8091174217736232,5.19296781886,0.9356718345611632,13.420018978996149,12.190470547470227,5.3882337428674205,3.3305365619446774,0.7499679831469278,2.177019432872692,1.480545942140404,1.963867516099279,0.04922690284021417,0.5237092318585329,0.44775919392711055,1.187155956555335,0.910276362059812,4.081673692677464,0.8679229763963139,1.0900892449657986,1.8227722028271909,0.1553385360292558,0.0368651755603149,0.183842655689,0.07422825285093139,0.449829867867115,0.21015163466390246,0.06473743494119058,0.007155545863261152,0.204,0.109115321,1.788416579958925,8.922006496558069,0.398
15,Afghanistan,AFG,2005,21.667814015330123,5.598684842443856,2.800942760073553,5.321184769459999,0.9532734729239164,13.058825392410558,12.292577306444233,5.103301609265504,3.3765136606276505,0.7621089037696773,2.127033064168838,1.4900716820349424,1.9813149913026185,0.05314057352885072,0.5409256173625548,0.4576216194452263,1.2142566571604352,0.8688935670554567,4.014715893804011,0.8269575742249944,1.0897403598945776,1.9177989898412464,0.15745299277777516,0.03770423118945458,0.18045874716,0.07815713401334089,0.4453188851118913,0.21126713837700925,0.07470572857867218,0.22422087782146446,0.5,0.14641248199999998,1.8353276631607849,8.591276797236787,0.408
16,Afghanistan,AFG,2006,21.501707754715003,5.63656730994428,2.7736532510164547,5.41687444936,0.9654714644780522,12.520840429054706,12.287528276638042,4.662891056418607,3.301028656225536,0.7641421479145089,2.0382572805868637,1.4877797559176562,1.974238069683449,0.05320096515476329,0.5453373253517722,0.4713379862062288,1.225329507962008,0.8354363924457259,3.873384966476538,0.7955465167046551,1.0377725927177637,1.8883977296235543,0.15841948611133855,0.037910989434948576,0.173502219705,0.08079196752114576,0.43184012758332696,0.20486004492106846,0.06513406504606398,0.15246552398114904,1.561,0.291536813,1.852866722772857,8.932948155326926,0.417
17,Afghanistan,AFG,2007,21.860335014360967,5.819206097843832,2.8163347025528243,5.543885069219999,1.0046792177485149,11.874364577426569,11.630467246530525,4.2360620244799705,3.3045782347960286,0.7877178567796513,1.98432889760546,1.5173257409181204,2.009836220087119,0.05912837305587727,0.5624327406743196,0.4563730632034035,1.2358457713143012,0.7931580659864385,3.726219687913604,0.7546552601807489,1.017679967368728,1.9608451231464288,0.16374137410958592,0.03921066610181912,0.168524377636,0.08554589315264174,0.4287919439740051,0.20336607540267712,0.06563264664715487,0.12111123378100633,2.129,0.489668307,1.9151737751993936,9.234774753802284,0.429
18,Afghanistan,AFG,2008,22.32317442651311,6.012251903904711,2.8659555179494536,5.745216987,1.0447815283971271,11.132951091930726,11.804073765264885,3.7630536356547246,3.3569751196845,0.8076831931220703,1.918239876482758,1.5409466842996524,2.0382593949592995,0.06421095738367645,0.5896118666570479,0.4685014188738117,1.2838086306217549,0.7386060519433815,3.5074396416605933,0.7031942082345504,0.9527932554100134,2.033265799833021,0.1692793633273986,0.04111098313711143,0.161854648696,0.0919460085343268,0.4235447575103388,0.19896471851174288,0.06547591749538431,0.0,1.5,0.456505973,1.9851585705108872,10.211164103495946,0.4370000000000001
19,Afghanistan,AFG,2009,22.4592183393928,6.123052402172598,2.8712741587634487,5.88453913372,1.0756623785445183,10.503455431975373,11.818118029537795,3.389462279232337,3.3341933527259635,0.8177152456565776,1.8325040079077148,1.5509669977593812,2.043721188127936,0.06742587354162348,0.6046840720704741,0.4651557244792973,1.3002291621293618,0.6982676892257629,3.100678175674936,0.6644783657370591,0.8827074521511787,2.037316349764395,0.17308699885383366,0.0424205521142333,0.15413918196999998,0.09700371541077134,0.4147434882418879,0.19276681288470124,0.06433698426027099,0.04287873056462836,2.031,0.451121266,2.0258201347657505,10.78585632464339,0.453
